"ステータス","受発注区分","案件ID","案件名","商材名","サービス","数量合計","発注日時","納品日時","発注会社","発注会社/グループ","発注会社/主担当者","発注会社/関係者","発注会社 / 関係者（取引先非公開）","発注会社 / 通知先アドレス","受注会社","受注会社/グループ","受注会社/主担当者","受注会社/関係者","受注会社 / 関係者（取引先非公開）","受注会社 / 通知先アドレス ","関連案件ID","発注会社 / 案件管理ID","受注会社 / 案件管理ID","説明","ファイル添付","見積日時","検収日","合計","合計（JPY）","カスタムフィールド：発注会社","カスタムフィールド：受注会社","制作物ブロック番号","制作物ブロックID","制作物名","制作物規定名","数量","制作物カスタムフィールド","備考","制作物管理ID","小計","通貨","為替レート","小計（JPY）","作成日","作成者","更新日","更新者"
"起票","受注","4506","【Rey Service for Debug】9547 - Debug 123_20210809152739_Septeni Ad Creative","9547 - Debug 123","Rey Service for Debug","1","2021-08-09 15:27","2021-08-31 15:27","Septeni Ad Creative","システムサポート","Alpha-Rey-Level 0","","","","Septeni Japan","クリエイティブ本部","Beta-Rey-Level 0","","","","4502","","receive123","","","2021-08-09 15:27","","5","60","{
    ""Text"": ""aaa""
}","{
    ""ric_date_and_time"": ""2021-08-10 13:32:52"",
    ""ricz_custom_sentence"": ""test"",
    ""ricz_number"": ""6"",
    ""ric_custom_checkbox"": ""checkbox1,checkbox2"",
    ""ricz_custom_radio"": ""radio1""
}","[1]","[8151]","[""#8684 Product""]","[
	[""10106 - Product Regualation""]
]","[1]","","","","[5]","[""JPY""]","[12.0000]","[60]","2021-08-09 16:27:44","Beta-Rey-Level 0","2021-08-11 20:40:20","samrat level 0 part 2"
"起票","受注","4505","【Rey Service for Debug】9547 - Debug 123_20210809152516_Septeni Ad Creative","9547 - Debug 123","Rey Service for Debug","1","2021-08-09 15:25","2021-08-31 15:25","Septeni Ad Creative","システムサポート","Alpha-Rey-Level 0","","","","Septeni Japan","クリエイティブ本部","Beta-Rey-Level 0","","","","4502","","","","","2021-08-09 15:25","","5","5","","","[1]","[8150]","[""#8684 Product""]","[
	[""10106 - Product Regualation""]
]","[1]","","","","[5]","[""JPY""]","[1.0000]","[5]","2021-08-09 16:25:21","Alpha-Rey-Level 0","2021-08-09 16:25:21","Alpha-Rey-Level 0"
"起票","受注","4504","【Rey Service for Debug】9547 - Debug 123_20210809152149_Septeni Ad Creative","9547 - Debug 123","Rey Service for Debug","1","2021-08-09 15:21","2021-08-31 15:21","Septeni Ad Creative","システムサポート","Alpha-Rey-Level 0","","","","Septeni Japan","クリエイティブ本部","Beta-Rey-Level 0","","","","4502","","","","","2021-08-09 15:21","","5","5","","","[1]","[8149]","[""#8684 Product""]","[
	[""10106 - Product Regualation""]
]","[1]","","","","[5]","[""JPY""]","[1.0000]","[5]","2021-08-09 16:23:14","Alpha-Rey-Level 0","2021-08-09 16:23:14","Alpha-Rey-Level 0"
"起票","発注","4503","gau9321","gau9321","test11111","1","2021-08-09 15:20","2021-08-31 15:20","Septeni Japan","システムサポート","Cypresstest Seventeen","Cypresstest Fourteen","","","Septeni Ad Creative","システムサポート","Cypresstest Nineteen","Cypresstest Twenty","","","","","","","","2021-08-09 15:20","","0","0","","","[1]","[8148]","[""gau9321""]","[
	[""gau9321""]
]","[1]","","","","[0]","[""JPY""]","[1.0000]","[0]","2021-08-09 16:21:42","Cypresstest Seventeen","2021-08-09 16:21:42","Cypresstest Seventeen"
"起票","受注","4502","【Rey Service for Debug】9547 - Debug 123_20210809151310_Septeni Ad Creative","9547 - Debug 123","Rey Service for Debug","1","2021-08-09 15:01","2021-08-31 15:01","Septeni Ad Creative","システムサポート","Alpha-Rey-Level 0","","","","Septeni Japan","クリエイティブ本部","Beta-Rey-Level 0","","","","","","receive123","","","2021-08-09 15:01","","5","60","{
    ""Text"": ""aa""
}","{
    ""ric_date_and_time"": ""2021-08-11 17:30:14"",
    ""ricz_custom_sentence"": """",
    ""ricz_number"": ""5"",
    ""ric_custom_checkbox"": ""checkbox1"",
    ""ricz_custom_radio"": ""radio1""
}","[1]","[8147]","[""#8684 Product""]","[
	[""10106 - Product Regualation""]
]","[1]","","","","[5]","[""JPY""]","[12.0000]","[60]","2021-08-09 16:13:29","Alpha-Rey-Level 0","2021-08-11 20:46:20","samrat level 0 part 2"
"納品完了","発注","4493","ggddd","ggddd","test11111","1","2021-08-06 03:06","2021-08-06 04:15","Septeni Japan","システムサポート","Cypresstest Seventeen","Cypresstest Fourteen","","","Septeni Ad Creative","システムサポート","Cypresstest Nineteen","Cypresstest Twenty","","","","","","","","2021-08-06 03:06","2021-08-06","12","156","","","[1]","[8137]","[""ggddd""]","[
	[""ggddd""]
]","[1]","","","","[12]","[""JPY""]","[13.0000]","[156]","2021-08-06 04:08:31","Cypresstest Seventeen","2021-08-11 20:10:30","samrat level 0 part 2"
"検収完了","発注","4492","85651","85651","test11111","1","2021-08-05 18:50","2021-08-05 19:53","Septeni Japan","システムサポート","Cypresstest Seventeen","Cypresstest Fourteen","","","Septeni Ad Creative","システムサポート","Cypresstest Nineteen","Cypresstest Twenty","","","","","","","","2021-08-05 18:50","2021-08-05","0","0","","","[1]","[8136]","[""85651""]","[
	[""85651""]
]","[1]","","","","[0]","[""JPY""]","[1.0000]","[0]","2021-08-05 19:51:41","Cypresstest Seventeen","2021-08-05 19:53:37","Cypresstest Seventeen"
"起票","発注","4488","sdfsd","sasdfsd","test11111","1","2021-08-05 18:09","2021-08-31 18:09","Septeni Japan","システムサポート","Cypresstest Seventeen","Cypresstest Fourteen","","","Septeni Ad Creative","システムサポート","Cypresstest Nineteen","Cypresstest Twenty","","","","","","","","2021-08-05 18:09","","0","0","","","[1]","[8132]","[""sdfadf""]","[
	[""sdfsad""]
]","[1]","","","","[0]","[""JPY""]","[1.0000]","[0]","2021-08-05 19:10:46","Cypresstest Seventeen","2021-08-05 19:14:32","Cypresstest Seventeen"
"起票","受注","4487","【test3】Beijing ELEX-MagicRush-APP_20210805180818_Septeni Ad Creative","Beijing ELEX-MagicRush-APP","test3","1","2021-08-05 18:04","2021-08-31 18:06","Septeni Ad Creative","KATSUMOK","Warren","","","","Septeni Japan","システムサポート","trd-ricz2","","","","","","","takoveor","NBA2K20_2021_04_14_13_44_22_730.jpg","2021-08-05 18:04","","5","5","","","[1]","[8131]","[""#8684 Product""]","[
	[""Logicad_バナー-高解像度(640x200 150KB)""]
]","[1]","","[
    ""sdfsdfsdf""
]","[""sdfsfdsdf""]","[5]","[""JPY""]","[1.0000]","[5]","2021-08-05 19:08:29","Warren","2021-08-05 19:08:30","Warren"
"検収完了","発注","4486","10371","10371","test11111","1","2021-08-05 17:53","2021-08-05 19:08","Septeni Japan","システムサポート","Cypresstest Seventeen","Cypresstest Fourteen","","","Septeni Ad Creative","システムサポート","Cypresstest Nineteen","Cypresstest Twenty","","","","","","","","2021-08-05 17:53","2021-08-05","0","0","","","[1]","[8130]","[""10371""]","[
	[""10371""]
]","[1]","","","","[0]","[""JPY""]","[1.0000]","[0]","2021-08-05 18:54:55","Cypresstest Seventeen","2021-08-05 19:08:26","Cypresstest Seventeen"
"検収完了","発注","4485","10349","10349","Service for dummy data","1","2021-08-05 17:14","2021-08-05 18:52","Septeni Japan","システムサポート","Cypresstest Seventeen","Cypresstest Fourteen","","","Septeni Ad Creative","システムサポート","Cypresstest Nineteen","Cypresstest Twenty","","","","","","","","2021-08-05 17:14","2021-08-05","1","1","{
    ""ricz_custom_sentence"": """",
    ""ricz_number"": ""5"",
    ""ricz_custom_select"": ""selctopt1"",
    ""ric_custom_checkbox"": ""checkbox1"",
    ""ricz_custom_radio"": ""radio1"",
    ""ric_custom_date"": ""2021-08-05"",
    ""ric_date_and_time"": ""2021-08-05 14:59:23"",
    ""CsvTestWithQuotes"": ""test　test テスト"""""""""""""""""""""""""""""""""""""""""""""""""""""""""",
    ""ric-service-file"": ""qioueqskdsjwwweqoeqdasjdkassdldjakdsjkljqweuoqiueqljkdasd,ada,qioweqequeuqbdnasdahsdadjadhkdhjskhjdkadhjahjdashkjdquiweuqyeyqueyuqyueidahjkdhkjadhkjahkjdquiweuiqweuqjkdasjdsahjdhkajdqhuweyqiuejdhjkadjksdjhahduiqwe.png"",
    ""ric-service-custom-master"": ""eee"",
    ""ric-service-title"": """"
}","{
    ""Number CF for Service"": ""1000"",
    ""Sentence"": ""test remark"",
    ""Select | Service"": ""Option 3"",
    ""Checkbox | Service"": ""check2,check3"",
    ""ラジオ / Radio"": ""ラジオ / Radio 1"",
    ""日付 / Date"": """",
    ""日時 / Date Time"": """",
    ""New title -Service"": """",
    ""Time 1"": ""00:00"",
    ""cf price"": ""100,000,000""
}","[1]","[8129]","[""Check Product""]","[
	[""ADpacker_Floating banner(200x200 100KB)""]
]","[1]","","","","[1]","[""JPY""]","[1.0000]","[1]","2021-08-05 18:16:20","Cypresstest Seventeen","2021-08-05 18:52:53","Cypresstest Seventeen"
"起票","発注","4482","【Service for dummy data】Test_20210802101046_Septeni Japan","Test","Service for dummy data","1","2021-08-02 10:10","2021-08-31 10:10","Septeni Japan","システムサポート","trd-ricz2","","","","Septeni Ad Creative","システムサポート","trd-ricz","","","","","","","","","2021-08-02 10:10","","5","5","{
    ""ricz_custom_sentence"": ""sdfsdfsfs"",
    ""ricz_number"": ""5"",
    ""ricz_custom_select"": ""selctopt1"",
    ""ric_custom_checkbox"": ""checkbox1"",
    ""ricz_custom_radio"": ""radio1"",
    ""ric_custom_date"": ""2021-08-02"",
    ""ric_date_and_time"": ""2021-08-02 07:55:35"",
    ""CsvTestWithQuotes"": ""test　test テスト"""""""""""""""""""""""""""""""""""""""""""""""""""""""""",
    ""ric-service-file"": ""qioueqskdsjwwweqoeqdasjdkassdldjakdsjkljqweuoqiueqljkdasd,ada,qioweqequeuqbdnasdahsdadjadhkdhjskhjdkadhjahjdashkjdquiweuqyeyqueyuqyueidahjkdhkjadhkjahkjdquiweuiqweuqjkdasjdsahjdhkajdqhuweyqiuejdhjkadjksdjhahduiqwe.png"",
    ""ric-service-custom-master"": ""qqq"",
    ""ric-service-title"": """"
}","{
    ""Number CF for Service"": ""1000"",
    ""Sentence"": ""sdfsdfs"",
    ""Select | Service"": ""Option 3"",
    ""Checkbox | Service"": ""check2,check3"",
    ""ラジオ / Radio"": ""ラジオ / Radio 1"",
    ""日付 / Date"": """",
    ""日時 / Date Time"": """",
    ""New title -Service"": """",
    ""Time 1"": ""00:00"",
    ""cf price"": ""100,000,000"",
    ""ファイル / File"": """"
}","[1]","[8126]","[""#8684 Product""]","[
	[""ADLIB_Banner(320x480 100KB)""]
]","[1]","","","","[5]","[""JPY""]","[1.0000]","[5]","2021-08-02 11:11:35","trd-ricz2","2021-08-02 17:11:19","trd-ricz2"
"見積確定","発注","4494","test 6000 characters","test merc","Service for dummy data","2","2021-08-26 12:37","2021-08-31 12:44","Septeni Japan","システムサポート","samrat level 0 part 2","システムサポート,samrat_level_0","","gamenic.samrat@gmail.com,gamenic.samrat+level0@gmail.com","Septeni Ad Creative","システムサポート","システムサポート","trd-ricz","","","","","","Testing 6000 characters","","2021-08-06 12:37","","2","2","{
    ""ricz_custom_sentence"": ""asdf"",
    ""ricz_number"": ""5"",
    ""ricz_custom_select"": ""selctopt1"",
    ""ric_custom_checkbox"": ""checkbox1,checkbox2"",
    ""ricz_custom_radio"": ""radio1"",
    ""ric_custom_date"": ""2021-08-06"",
    ""ric_date_and_time"": ""2021-08-06 12:37:45"",
    ""CsvTestWithQuotes"": ""normal"",
    ""ric-service-file"": ""qioueqskdsjwwweqoeqdasjdkassdldjakdsjkljqweuoqiueqljkdasd,ada,qioweqequeuqbdnasdahsdadjadhkdhjskhjdkadhjahjdashkjdquiweuqyeyqueyuqyueidahjkdhkjadhkjahkjdquiweuiqweuqjkdasjdsahjdhkajdqhuweyqiuejdhjkadjksdjhahduiqwe.png,AXIS _ Debug book.xlsx"",
    ""ric-service-custom-master"": ""eee"",
    ""ric-service-title"": """"
}","{
    ""Number CF for Service"": ""1001"",
    ""Sentence"": ""level0 part 2"",
    ""Select | Service"": ""Option 2"",
    ""Checkbox | Service"": ""check2,check3"",
    ""ラジオ / Radio"": ""ラジオ / Radio 1"",
    ""日付 / Date"": """",
    ""日時 / Date Time"": """",
    ""New title -Service"": """",
    ""Time 1"": ""00:01"",
    ""cf price"": ""100,000,000"",
    ""ファイル / File"": """"
}","[1,2]","[8138,8139]","[""Check Product"",""Check Product""]","[
	[""sample reg 1""],
	[""ADpacker_Floating banner(200x200 100KB)""]
]","[1,1]","","","","[1,1]","[""JPY"",""JPY""]","[1.0000,1.0000]","[1,1]","2021-08-06 16:38:02","samrat level 0 part 2","2021-08-06 17:34:12","samrat level 0 part 2"
